Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Dealer_Region,Cluster,PCA1,PCA2
Male,685000,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,33000,53546-9427,SUV,Janesville,1,-0.6705027859357345,0.1781691570533146
Male,455000,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,85257-3102,Sedan,Scottsdale,1,-0.6859106176299798,0.16320558585683598
Male,13500,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000,78758-7841,Sedan,Austin,0,0.7125481606024315,-0.05751467043886016
Male,2500000,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000,85257-3102,Hardtop,Austin,1,-0.6612641221178298,0.5171363521748291
Male,585000,Audi,A4,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hardtop,Middletown,0,0.7433359107857929,0.16336957507440109
Male,920000,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000,99301-3882,Passenger,Pasco,1,-0.6814617575139854,0.20357623598534347
Male,672000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,53546-9427,Passenger,Janesville,1,-0.6681122437320886,0.17786325938554626
Male,801250,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31250,85257-3102,SUV,Scottsdale,1,-0.6388735508271793,0.19013231395122854
Female,820000,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000,78758-7841,Passenger,Austin,2,-0.6491211016117868,-0.7027092851329934
Male,791000,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,53546-9427,Hatchback,Janesville,0,0.7562275148892363,0.18198823801265673
Male,13500,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000,78758-7841,Hatchback,Janesville,0,0.7589795617766624,-0.06453006824354146
Male,1020000,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,06457-3834,Hatchback,Scottsdale,0,0.7512621609369361,0.20165304791583538
Male,210000,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000,60504-7114,Sedan,Austin,0,0.7181105904722442,0.13593719607584065
Male,750000,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hatchback,Middletown,0,0.7709531076769596,0.17879896809102913
Male,635000,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Sedan,Aurora,1,-0.6855312921335651,0.1728567000363812
Male,675000,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,Greenville,0,0.7368880004510865,0.18552496725596868
Male,880000,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000,78758-7841,Passenger,Pasco,1,-0.6483321630783904,0.20332801391328514
Male,13500,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Sedan,Middletown,1,-0.6615671229367606,-0.065441238715652
Male,13500,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,SUV,Aurora,1,-0.6559903338410558,-0.06680901312033416
Male,13500,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,38701-8047,Hatchback,Greenville,1,-0.650023369936728,-0.058675879824708344
Male,941000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000,99301-3882,SUV,Pasco,1,-0.663944563950752,0.20392974529021135
Female,13500,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000,99301-3882,Passenger,Pasco,2,-0.6502893334116612,-0.9450537340397517
Male,13500,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,53546-9427,Sedan,Janesville,0,0.7699562364512211,-0.07111879473278337
Female,13500,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000,85257-3102,Sedan,Scottsdale,0,0.7490683670154821,-0.9562852883979245
Male,967500,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500,78758-7841,Passenger,Austin,0,0.7524193137170634,0.20364547965937496
Male,600000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001,06457-3834,Hatchback,Middletown,1,-0.6612244227910655,0.17859239772852775
Male,575000,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001,60504-7114,Hatchback,Aurora,0,0.724190748955732,0.17532996035778603
Male,566000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,38701-8047,Hatchback,Greenville,0,0.7366727986387409,0.16326170146010677
Male,1250000,BMW,323i,Overhead Camshaft,Manual,Pale White,21001,99301-3882,Hatchback,Pasco,0,0.732793941951503,0.41336899552625406
Male,730000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000,85257-3102,Hatchback,Scottsdale,1,-0.6311342857402026,0.18523084329243145
Male,13500,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,06457-3834,SUV,Middletown,1,-0.6642824527078615,-0.06960669544219933
Male,1180000,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,60504-7114,Hatchback,Aurora,1,-0.6383739551410021,0.4025659164254386
Male,1360000,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,53546-9427,Hardtop,Austin,1,-0.6776247988075813,0.4242559813203963
Female,640000,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000,60504-7114,Hatchback,Scottsdale,2,-0.6808069121895934,-0.7089346763176867
Male,615000,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000,38701-8047,Hardtop,Middletown,0,0.7678347066665243,0.16756359186878034
Male,520000,Acura,RL,Overhead Camshaft,Manual,Pale White,17000,99301-3882,SUV,Middletown,0,0.7680448111425116,0.16377557918846897
Male,1876000,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600,53546-9427,Passenger,Janesville,1,-0.6542747533945839,0.4593075187767095
Male,13500,Volvo,C70,Overhead Camshaft,Manual,Black,17000,85257-3102,Hatchback,Scottsdale,0,0.7275245507567942,-0.04871388230087581
Male,13500,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000,78758-7841,SUV,Austin,0,0.7557681384987338,-0.06716071895930609
Male,890000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000,06457-3834,Hatchback,Middletown,0,0.7364321982862163,0.18845235757415568
Male,1800000,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Passenger,Aurora,0,0.7638415566653336,0.4474751470081193
Male,1330000,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000,06457-3834,Hardtop,Janesville,0,0.7619823378145183,0.42275250424186517
Male,393000,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hatchback,Janesville,0,0.7357295506312329,0.15258687941281868
Male,440000,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,85257-3102,Hatchback,Austin,0,0.753095154007942,0.1594113810750193
Female,280000,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000,06457-3834,SUV,Middletown,2,-0.6853802155173487,-0.748122365203064
Male,1151000,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100,38701-8047,Sedan,Greenville,1,-0.6667589025186577,0.39671272903051746
Male,1650000,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000,99301-3882,Hatchback,Pasco,1,-0.6569181431615485,0.45632513451540246
Male,13500,Dodge,Viper,Overhead Camshaft,Manual,Black,26000,53546-9427,SUV,Janesville,0,0.7744060311953855,-0.06187117153356503
Male,895000,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000,53546-9427,Passenger,Aurora,0,0.7611144986072536,0.1968217148943785
Female,660000,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,85257-3102,Sedan,Greenville,2,-0.6700486638174328,-0.7169584197848676
Male,13500,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,78758-7841,Hatchback,Pasco,1,-0.6665522753356603,-0.058510658995410414
Male,1636000,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600,06457-3834,SUV,Middletown,1,-0.6704738001256196,0.43439269500520306
Female,1000000,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000,60504-7114,Passenger,Aurora,0,0.7567631116553533,-0.699436513824458
Female,745000,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000,38701-8047,SUV,Greenville,0,0.7294756790597279,-0.7122391866974498
Male,300000,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000,99301-3882,Sedan,Pasco,1,-0.6825280352990988,0.1532922423525771
Male,1097000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700,53546-9427,Passenger,Janesville,1,-0.6717701157195481,0.21861613907638877
Female,542000,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000,85257-3102,SUV,Scottsdale,2,-0.6728188765970315,-0.7149772937621928
Male,1200000,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000,99301-3882,Hatchback,Pasco,0,0.7696387297751359,0.41931767865719993
Male,490000,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,Austin,0,0.7475443876418095,0.16992018556949273
Male,410000,Audi,A6,Overhead Camshaft,Manual,Black,15000,85257-3102,SUV,Scottsdale,0,0.7305420650319716,0.1644796739169745
Male,930000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000,78758-7841,Hatchback,Austin,1,-0.6339162638234758,0.2026717994003271
Male,480000,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,85257-3102,Hardtop,Greenville,1,-0.652706275261522,0.16772761001183478
Female,1360000,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000,60504-7114,Hatchback,Aurora,0,0.7524617980766943,-0.4817692012192073
Male,2200000,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000,60504-7114,Sedan,Aurora,1,-0.6873044610532505,0.48101297771009377
Female,1100000,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,38701-8047,SUV,Greenville,2,-0.6790134244976088,-0.692025854301095
Male,13500,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001,99301-3882,Hatchback,Pasco,0,0.7610023237507397,-0.060785516139357454
Male,1700000,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001,53546-9427,Sedan,Janesville,0,0.7167428608275297,0.44219880776472675
Male,1908000,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800,85257-3102,Sedan,Scottsdale,0,0.7372728277323497,0.4607376069741316
Male,13500,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000,78758-7841,SUV,Austin,1,-0.6855124125066056,-0.057647647568297544
Male,13500,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000,85257-3102,Sedan,Scottsdale,1,-0.6844044624782195,-0.05366223802616188
Male,2550000,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,78758-7841,Hatchback,Austin,1,-0.6838702027763284,0.5121903238352437
Male,1245000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,06457-3834,Sedan,Middletown,0,0.7440520267814497,0.4033615065136623
Male,13500,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,78758-7841,Hardtop,Austin,0,0.7759328932294585,-0.0662225221530377
Male,1115000,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,60504-7114,Hardtop,Aurora,1,-0.6675285599195288,0.20956097138020868
Male,13500,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,99301-3882,SUV,Pasco,1,-0.6809805022411293,-0.0597170307832402
Male,2110000,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000,06457-3834,Passenger,Janesville,1,-0.656529723194304,0.483751402857616
Female,13500,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,60504-7114,SUV,Scottsdale,0,0.7509404169502405,-0.9518949013515103
Male,1050000,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000,38701-8047,Hatchback,Austin,1,-0.6561474398604666,0.208802476447004
Male,13500,Honda,Accord,Overhead Camshaft,Manual,Black,43000,99301-3882,Sedan,Janesville,0,0.7216057701740388,-0.055361838779899086
Female,13500,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,53546-9427,Sedan,Scottsdale,0,0.7386973581955787,-0.9609005225025974
Male,320000,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,85257-3102,SUV,Austin,1,-0.6684755180962918,0.14874785866449858
Male,13500,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001,78758-7841,SUV,Austin,1,-0.6711911617759142,-0.05683520162420108
Female,760000,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001,06457-3834,Sedan,Middletown,2,-0.6913027169128125,-0.7120330480786997
Male,1390000,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,38701-8047,SUV,Greenville,1,-0.6694593430056179,0.4187722057036223
Male,659000,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,06457-3834,Hardtop,Janesville,0,0.765949580592096,0.17963915712043588
Male,1330000,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,06457-3834,Hatchback,Middletown,1,-0.666561407661783,0.4143712040011076
Male,13500,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000,60504-7114,Hatchback,Aurora,1,-0.647985428343739,-0.06459096603178927
Female,13500,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000,53546-9427,Hatchback,Janesville,2,-0.694713819786171,-0.9479899452636824
Male,1362000,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,99301-3882,Hardtop,Pasco,0,0.7687636629661572,0.4229858558476003
Male,480000,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,78758-7841,SUV,Middletown,0,0.7358818065464354,0.1634074834266359
Female,365000,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000,06457-3834,Sedan,Aurora,2,-0.6812805485224247,-0.7536345247261059
Female,481000,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001,60504-7114,SUV,Aurora,2,-0.6735262228979795,-0.7342607063673872
Male,700000,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001,38701-8047,Hatchback,Greenville,1,-0.6499676623028285,0.17561656824601868
Male,1350000,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,99301-3882,SUV,Pasco,0,0.7575779326728704,0.42984383273647153
Male,750000,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,53546-9427,SUV,Janesville,0,0.7393143613584428,0.1760831702869925
Male,451000,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000,85257-3102,Hardtop,Austin,1,-0.674892808797045,0.16911293480594725
Female,650000,Ford,Focus,Overhead Camshaft,Manual,Black,49000,78758-7841,Hardtop,Janesville,0,0.7422852550218848,-0.7122767610955848
Male,700000,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,78758-7841,Hatchback,Austin,0,0.734386543377729,0.18693694707948105
Female,13500,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000,06457-3834,Hatchback,Middletown,2,-0.6646415641895441,-0.9544722086006934
Female,1220000,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,38701-8047,Hatchback,Greenville,0,0.7484335384771483,-0.49280448728614257
Male,1300000,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,99301-3882,Hatchback,Pasco,1,-0.6727988641755054,0.42136464734343027
Male,470000,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,53546-9427,Sedan,Janesville,1,-0.6434538622558138,0.15612064920411028
Female,1167500,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,85257-3102,Hatchback,Scottsdale,0,0.7554312990199361,-0.48935780030603404
Male,1900000,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,06457-3834,Hatchback,Middletown,0,0.7417215938176451,0.4586051882861917
Female,1690000,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,60504-7114,SUV,Aurora,0,0.7599175422696549,-0.4512092273885693
Male,2800000,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000,38701-8047,Sedan,Greenville,1,-0.6558651583347487,0.5243411789712744
Male,642000,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,53546-9427,Hardtop,Greenville,0,0.7727421668389447,0.17122856412711518
Female,705000,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,38701-8047,Hatchback,Pasco,0,0.7220315219418381,-0.716742459938992
Male,670000,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,99301-3882,Passenger,Janesville,1,-0.6508687576629851,0.1790887909034793
Male,13500,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,53546-9427,Passenger,Scottsdale,0,0.7693523435757856,-0.06558421201891684
Female,1985000,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501,85257-3102,Hatchback,Scottsdale,2,-0.6426569579348881,-0.41691966755831256
Male,1275000,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500,60504-7114,Hatchback,Aurora,1,-0.6775269747427559,0.40885823360518225
Male,13500,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,78758-7841,Passenger,Austin,0,0.7736950033605481,-0.06575021935975767
Male,1650000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,99301-3882,Sedan,Pasco,0,0.7416992382551826,0.4442122030571929
Male,520500,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500,85257-3102,Passenger,Austin,1,-0.6676874801186777,0.16451492620612607
Female,500000,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,78758-7841,SUV,Austin,0,0.7409807388181486,-0.7364179929250181
Male,1172500,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250,06457-3834,SUV,Middletown,1,-0.6753814242409435,0.4009199623819971
Male,441000,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,60504-7114,Sedan,Aurora,0,0.7484519713367184,0.15815660591102731
Male,1310000,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,38701-8047,Sedan,Greenville,0,0.744056876424297,0.40793007395345837
Male,13500,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000,99301-3882,Passenger,Pasco,1,-0.6747759995084234,-0.05839655679748701
Male,1200000,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,53546-9427,SUV,Janesville,0,0.7395053150241495,0.40045543176952725
Male,1680000,Acura,RL,Overhead Camshaft,Manual,Black,18000,38701-8047,SUV,Greenville,0,0.7621063756670685,0.44164978533941235
Male,1340000,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,99301-3882,Passenger,Pasco,0,0.7575791502750115,0.4204112646515574
Female,901000,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,53546-9427,SUV,Janesville,0,0.7394156417400972,-0.7058692068160236
Female,849500,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,85257-3102,SUV,Scottsdale,0,0.76104779419755,-0.7064835341958962
Male,13500,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,78758-7841,SUV,Austin,0,0.7638795188724008,-0.05877742558406507
Female,1071500,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,06457-3834,Sedan,Middletown,0,0.7572874137162016,-0.6964448644794834
Male,1740000,Saab,5-Sep,Overhead Camshaft,Manual,Pale White,28000,53546-9427,Hatchback,Janesville,0,0.7200286619576468,0.4475956189541972
Male,13500,Honda,Civic,Overhead Camshaft,Manual,Black,43000,85257-3102,Hatchback,Scottsdale,0,0.7396052534675359,-0.05134003422506028
Male,1700000,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,78758-7841,SUV,Austin,0,0.7275992672029998,0.43953393825649556
Male,1100000,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,12000,06457-3834,Sedan,Middletown,1,-0.6492585574307376,0.20462888902575527
Male,13500,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000,60504-7114,Sedan,Aurora,1,-0.6682465306871623,-0.05929288919873643
Male,2155000,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60500,38701-8047,Passenger,Greenville,1,-0.6757629403031664,0.4844544751398794
Male,13500,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000,53546-9427,Passenger,Janesville,1,-0.6641091111661914,-0.06268481475621557
Male,13500,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,85257-3102,Hatchback,Scottsdale,1,-0.6792112951706791,-0.055366744569959714
Male,661000,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000,78758-7841,Hatchback,Austin,0,0.7573124947968894,0.1811662881689613
Female,13500,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000,06457-3834,Passenger,Middletown,0,0.7159082660519605,-0.9624763928402411
Male,13500,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000,60504-7114,Hatchback,Aurora,0,0.7666087034552815,-0.06910411017501006
Male,2750000,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000,38701-8047,Hatchback,Greenville,1,-0.6756584825181451,0.5317356409822025
Male,13500,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000,78758-7841,SUV,Middletown,0,0.7481191463303953,-0.06585683642707452
Male,13500,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,06457-3834,Hardtop,Middletown,0,0.7592499945472171,-0.06664163366705189
Female,13500,Ford,Focus,Overhead Camshaft,Manual,Black,49000,38701-8047,Hardtop,Greenville,0,0.7456205511340657,-0.9561271531840925
Male,950000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,19000,38701-8047,Passenger,Pasco,1,-0.6677691749976163,0.19940475782821698
Female,715000,BMW,528i,Overhead Camshaft,Manual,Black,21000,99301-3882,SUV,Janesville,0,0.7229532476256513,-0.7092992346916877
Female,13500,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000,85257-3102,Hardtop,Scottsdale,2,-0.6721863177701789,-0.9418480920260399
Female,847000,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000,85257-3102,SUV,Scottsdale,0,0.7208847124493882,-0.7028790393854902
Female,13500,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,45000,78758-7841,SUV,Austin,2,-0.6982395506386613,-0.9573430525647559
Male,1176500,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650,06457-3834,Sedan,Middletown,0,0.7455492116321054,0.4037023706110937
Male,955000,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,60504-7114,Sedan,Aurora,0,0.7391667777077864,0.19060749698920998
Male,800000,Saturn,SW,Overhead Camshaft,Manual,Black,36000,60504-7114,Passenger,Aurora,0,0.7558816540783997,0.19167181141354828
Female,13500,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000,99301-3882,Sedan,Pasco,2,-0.6809272135261313,-0.9569004276303429
Male,626800,Nissan,Pathfinder,Overhead Camshaft,Manual,Pale White,11800,06457-3834,Hardtop,Austin,0,0.7660243415996797,0.1666767958653652
Male,2115000,Toyota,RAV4,DoubleÂ Overhead Camshaft,Auto,Pale White,27500,99301-3882,Hatchback,Pasco,1,-0.6595876810951206,0.4866763737660116
Male,2810000,Mercury,Villager,DoubleÂ Overhead Camshaft,Auto,Pale White,36000,53546-9427,Passenger,Janesville,1,-0.6464072612205605,0.529710076519323
Male,13500,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,85257-3102,Passenger,Scottsdale,0,0.768961143817219,-0.06125693102641272
Male,13500,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,78758-7841,Passenger,Austin,0,0.7698815400800358,-0.06669715030327528
Male,1589000,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16900,99301-3882,Passenger,Pasco,1,-0.6709362555050449,0.4453276968468729
Male,1385000,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Pale White,46500,53546-9427,Passenger,Janesville,1,-0.6485906274667714,0.4186270573414046
Male,2000000,Mercedes-B,C-Class,DoubleÂ Overhead Camshaft,Auto,Black,14000,85257-3102,Hatchback,Scottsdale,1,-0.6830866642161131,0.4833316870408897
